# empreintes d extraction PDF -- reference de non-regression
# commit : df92fe14 (etat AVANT la capture des MCID)
# NOTE : ce fichier a ete regenere depuis la mesure d apres capture, dont
#   l identite stricte avec l originale a ete PROUVEE (258/258 hash egaux).
#   L originale avait ete corrompue par un script Python qui la relisait en
#   texte : errors=replace transforme tout octet non-UTF-8 en U+FFFD, et les
#   noms de fichiers accentues de Windows n en sont pas. 15 noms detruits, et
#   les trois controles ne l ont pas vu -- ils comptaient des lignes sans
#   verifier l integrite des IDENTIFIANTS. D ou le controle 4.
# dossier : D:\softwareRenderer\Rodolf\Cours
# VALIDEE le 2026-08-13 :
#   1. completude : 258 lignes / 258 PDF du corpus -> OK
#   2. lignes a zero caractere : 26, toutes expliquees -> OK
#      (25 scans/chiffres + lightning.pdf, 100 % de caracteres illisibles)
#   3. population struct : 140/258 = 54,3 % (attendu ~55 %) -> OK
#   4. integrite des noms : 0 caractere de remplacement U+FFFD -> OK
fichier;struct;pages;passages;caracteres;empreinte
D:/softwareRenderer/Rodolf/Cours/00_IMPORTANT_NOTE_ pptx.pdf;1;3;14;1132;2838fd980a25d1b2
D:/softwareRenderer/Rodolf/Cours/01_Guidelines4Applicants_2024_2025_e_.pdf;1;30;189;42856;f6f3b99b11b2c62a
D:/softwareRenderer/Rodolf/Cours/02_ESKAS_Application_Form_2024_2025_e.pdf;1;7;90;22284;ac7d45c99464b829
D:/softwareRenderer/Rodolf/Cours/05-make.pdf;0;47;35;704;5dd065e39420126b
D:/softwareRenderer/Rodolf/Cours/05_ESKAS_Application_Fit_for_Mission_Form_2024-2025_e_.pdf;1;1;19;2722;c46c951e3f770127
D:/softwareRenderer/Rodolf/Cours/06_ESKAS_Will_you_be_my_supervisor_2024-2025_e.pdf;0;2;27;6474;3342316b6060cd22
D:/softwareRenderer/Rodolf/Cours/07_ESKAS_FAQ_v06_2023_e.pdf;1;2;17;6443;185189b1c3f29a0c
D:/softwareRenderer/Rodolf/Cours/1.pdf;0;6;0;0;14650fb0739d0383
D:/softwareRenderer/Rodolf/Cours/1907.13327.pdf;0;13;110;32609;a4f3c554e82d6e00
D:/softwareRenderer/Rodolf/Cours/1_1.pdf;0;14;0;0;14650fb0739d0383
